"","Bat1","Runs","BF","SR","4s","6s","Opposition","Ground","Start Date","Match_ID","Batsman","Player_ID"
"5000","10","10","5","200.00","1","1","v India","Dambulla","25 Aug 2010","ODI # 3039","Tim Southee",232364
"5001","1*","1","2","50.00","0","0","v Bangladesh","Dhaka","5 Oct 2010","ODI # 3051","Tim Southee",232364
"5002","0","0","4","0.00","0","0","v Bangladesh","Dhaka","11 Oct 2010","ODI # 3054","Tim Southee",232364
"5003","2*","2","1","200.00","0","0","v India","Jaipur","1 Dec 2010","ODI # 3072","Tim Southee",232364
"5004","DNB","-","-","-","-","-","v India","Bengaluru","7 Dec 2010","ODI # 3076","Tim Southee",232364
"5005","0","0","2","0.00","0","0","v India","Chennai","10 Dec 2010","ODI # 3077","Tim Southee",232364
"5006","DNB","-","-","-","-","-","v Pakistan","Wellington","22 Jan 2011","ODI # 3085","Tim Southee",232364
"5007","TDNB","-","-","-","-","-","v Pakistan","Queenstown","26 Jan 2011","ODI # 3088","Tim Southee",232364
"5008","13*","13","17","76.47","0","1","v Pakistan","Christchurch","29 Jan 2011","ODI # 3090","Tim Southee",232364
"5009","DNB","-","-","-","-","-","v Pakistan","Napier","1 Feb 2011","ODI # 3093","Tim Southee",232364
"5010","DNB","-","-","-","-","-","v Pakistan","Auckland","5 Feb 2011","ODI # 3097","Tim Southee",232364
"5011","DNB","-","-","-","-","-","v Kenya","Chennai","20 Feb 2011","ODI # 3101","Tim Southee",232364
"5012","6","6","10","60.00","0","0","v Australia","Nagpur","25 Feb 2011","ODI # 3107","Tim Southee",232364
"5013","DNB","-","-","-","-","-","v Zimbabwe","Ahmedabad","4 Mar 2011","ODI # 3117","Tim Southee",232364
"5014","DNB","-","-","-","-","-","v Pakistan","Pallekele","8 Mar 2011","ODI # 3123","Tim Southee",232364
"5015","DNB","-","-","-","-","-","v Canada","Mumbai","13 Mar 2011","ODI # 3129","Tim Southee",232364
"5016","8","8","8","100.00","1","0","v Sri Lanka","Mumbai","18 Mar 2011","ODI # 3137","Tim Southee",232364
"5017","DNB","-","-","-","-","-","v South Africa","Dhaka","25 Mar 2011","ODI # 3144","Tim Southee",232364
"5018","0","0","3","0.00","0","0","v Sri Lanka","Colombo (RPS)","29 Mar 2011","ODI # 3146","Tim Southee",232364
"5019","3","3","4","75.00","0","0","v Zimbabwe","Dunedin","3 Feb 2012","ODI # 3230","Tim Southee",232364
"5020","DNB","-","-","-","-","-","v Zimbabwe","Whangarei","6 Feb 2012","ODI # 3232","Tim Southee",232364
"5021","4*","4","1","400.00","1","0","v South Africa","Wellington","25 Feb 2012","ODI # 3249","Tim Southee",232364
"5022","28","28","27","103.70","2","2","v South Africa","Napier","29 Feb 2012","ODI # 3252","Tim Southee",232364
"5023","9*","9","10","90.00","0","0","v West Indies","Kingston","5 Jul 2012","ODI # 3283","Tim Southee",232364
"5024","2","2","3","66.66","0","0","v West Indies","Kingston","7 Jul 2012","ODI # 3285","Tim Southee",232364
"5025","17*","17","11","154.54","1","1","v West Indies","Basseterre","11 Jul 2012","ODI # 3288","Tim Southee",232364
"5026","3","3","8","37.50","0","0","v West Indies","Basseterre","14 Jul 2012","ODI # 3289","Tim Southee",232364
"5027","4*","4","6","66.66","0","0","v West Indies","Basseterre","16 Jul 2012","ODI # 3290","Tim Southee",232364
"5028","DNB","-","-","-","-","-","v Sri Lanka","Pallekele","4 Nov 2012","ODI # 3305","Tim Southee",232364
"5029","DNB","-","-","-","-","-","v Sri Lanka","Pallekele","6 Nov 2012","ODI # 3306","Tim Southee",232364
"5030","7*","7","8","87.50","0","0","v Sri Lanka","Hambantota","10 Nov 2012","ODI # 3307","Tim Southee",232364
"5031","TDNB","-","-","-","-","-","v Sri Lanka","Hambantota","12 Nov 2012","ODI # 3308","Tim Southee",232364
"5032","2","2","3","66.66","0","0","v England","Napier","20 Feb 2013","ODI # 3336","Tim Southee",232364
"5033","5*","5","3","166.66","1","0","v England","Auckland","23 Feb 2013","ODI # 3338","Tim Southee",232364
"5034","DNB","-","-","-","-","-","v England","Lord's","31 May 2013","ODI # 3360","Tim Southee",232364
"5035","15","15","15","100.00","3","0","v England","Nottingham","5 Jun 2013","ODI # 3362","Tim Southee",232364
"5036","13*","13","21","61.90","1","0","v Sri Lanka","Cardiff","9 Jun 2013","ODI # 3366","Tim Southee",232364
"5037","DNB","-","-","-","-","-","v Australia","Birmingham","12 Jun 2013","ODI # 3369","Tim Southee",232364
"5038","0","0","1","0.00","0","0","v Bangladesh","Dhaka","29 Oct 2013","ODI # 3423","Tim Southee",232364
"5039","0","0","1","0.00","0","0","v Bangladesh","Dhaka","31 Oct 2013","ODI # 3426","Tim Southee",232364
"5040","DNB","-","-","-","-","-","v West Indies","Nelson","4 Jan 2014","ODI # 3452","Tim Southee",232364
"5041","9","9","7","128.57","1","0","v West Indies","Hamilton","8 Jan 2014","ODI # 3453","Tim Southee",232364
"5042","3*","3","3","100.00","0","0","v India","Napier","19 Jan 2014","ODI # 3456","Tim Southee",232364
"5043","DNB","-","-","-","-","-","v India","Hamilton","22 Jan 2014","ODI # 3458","Tim Southee",232364
"5044","27","27","23","117.39","1","3","v India","Auckland","25 Jan 2014","ODI # 3462","Tim Southee",232364
"5045","DNB","-","-","-","-","-","v India","Hamilton","28 Jan 2014","ODI # 3465","Tim Southee",232364
"5046","5","5","5","100.00","1","0","v South Africa","Mount Maunganui","24 Oct 2014","ODI # 3537","Tim Southee",232364
"5047","TDNB","-","-","-","-","-","v South Africa","Hamilton","27 Oct 2014","ODI # 3538","Tim Southee",232364
"5048","DNB","-","-","-","-","-","v Sri Lanka","Auckland","17 Jan 2015","ODI # 3580","Tim Southee",232364
"5049","DNB","-","-","-","-","-","v Sri Lanka","Nelson","20 Jan 2015","ODI # 3585","Tim Southee",232364
"5050","DNB","-","-","-","-","-","v Sri Lanka","Dunedin","23 Jan 2015","ODI # 3588","Tim Southee",232364
"5051","1","1","4","25.00","0","0","v Sri Lanka","Wellington","29 Jan 2015","ODI # 3594","Tim Southee",232364
