Entity,Code,Year,Wind energy consumption (Terawatt-hours)
Africa,,1965,0
Africa,,1966,0
Africa,,1967,0
Africa,,1968,0
Africa,,1969,0
Africa,,1970,0
Africa,,1971,0
Africa,,1972,0
Africa,,1973,0
Africa,,1974,0
Africa,,1975,0
Africa,,1976,0
Africa,,1977,0
Africa,,1978,0
Africa,,1979,0
Africa,,1980,0
Africa,,1981,0
Africa,,1982,0
Africa,,1983,0
Africa,,1984,0
Africa,,1985,0
Africa,,1986,0
Africa,,1987,0
Africa,,1988,0
Africa,,1989,0
Africa,,1990,0
Africa,,1991,0
Africa,,1992,0
Africa,,1993,0.002
Africa,,1994,0.0054
Africa,,1995,0.0063
Africa,,1996,0.0070999999999999995
Africa,,1997,0.0072
Africa,,1998,0.0076
Africa,,1999,0.0318
Africa,,2000,0.23249999999999998
Africa,,2001,0.45808000000000004
Africa,,2002,0.435064
Africa,,2003,0.621187
Africa,,2004,0.7862669999999998
Africa,,2005,0.8222990000000001
Africa,,2006,0.86144
Africa,,2007,1.182661
Africa,,2008,1.291401
Africa,,2009,1.681591
Africa,,2010,2.3686969999999996
Africa,,2011,2.411056
Africa,,2012,2.4314261999999998
Africa,,2013,3.2825801
Africa,,2014,5.323814851
Africa,,2015,8.852923501327005
Africa,,2016,11.213078480349987
Algeria,DZA,1965,0
Algeria,DZA,1966,0
Algeria,DZA,1967,0
Algeria,DZA,1968,0
Algeria,DZA,1969,0
Algeria,DZA,1970,0
Algeria,DZA,1971,0
Algeria,DZA,1972,0
Algeria,DZA,1973,0
Algeria,DZA,1974,0
Algeria,DZA,1975,0
Algeria,DZA,1976,0
Algeria,DZA,1977,0
Algeria,DZA,1978,0
Algeria,DZA,1979,0
Algeria,DZA,1980,0
Algeria,DZA,1981,0
Algeria,DZA,1982,0
Algeria,DZA,1983,0
Algeria,DZA,1984,0
Algeria,DZA,1985,0
Algeria,DZA,1986,0
Algeria,DZA,1987,0
Algeria,DZA,1988,0
Algeria,DZA,1989,0
Algeria,DZA,1990,0
Algeria,DZA,1991,0
Algeria,DZA,1992,0
Algeria,DZA,1993,0
Algeria,DZA,1994,0
Algeria,DZA,1995,0
Algeria,DZA,1996,0
Algeria,DZA,1997,0
Algeria,DZA,1998,0
Algeria,DZA,1999,0
Algeria,DZA,2000,0
Algeria,DZA,2001,0
Algeria,DZA,2002,0
Algeria,DZA,2003,0
Algeria,DZA,2004,0
Algeria,DZA,2005,0
Algeria,DZA,2006,0
Algeria,DZA,2007,0
Algeria,DZA,2008,0
Algeria,DZA,2009,0
Algeria,DZA,2010,0
Algeria,DZA,2011,0
Algeria,DZA,2012,0
Algeria,DZA,2013,0
Algeria,DZA,2014,0.001
Algeria,DZA,2015,0.019
Algeria,DZA,2016,0.01905205479452055
Argentina,ARG,1965,0
Argentina,ARG,1966,0
Argentina,ARG,1967,0
Argentina,ARG,1968,0
Argentina,ARG,1969,0
Argentina,ARG,1970,0
Argentina,ARG,1971,0
Argentina,ARG,1972,0
Argentina,ARG,1973,0
Argentina,ARG,1974,0
Argentina,ARG,1975,0
Argentina,ARG,1976,0
Argentina,ARG,1977,0
Argentina,ARG,1978,0
Argentina,ARG,1979,0
Argentina,ARG,1980,0
Argentina,ARG,1981,0
Argentina,ARG,1982,0
Argentina,ARG,1983,0
Argentina,ARG,1984,0
Argentina,ARG,1985,0
Argentina,ARG,1986,0
Argentina,ARG,1987,0
Argentina,ARG,1988,0
Argentina,ARG,1989,0
Argentina,ARG,1990,0
Argentina,ARG,1991,0
Argentina,ARG,1992,0
Argentina,ARG,1993,0
Argentina,ARG,1994,0
Argentina,ARG,1995,0
Argentina,ARG,1996,0.009618
Argentina,ARG,1997,0.014592
Argentina,ARG,1998,0.032541
Argentina,ARG,1999,0.034781
Argentina,ARG,2000,0.034758
Argentina,ARG,2001,0.049361
Argentina,ARG,2002,0.073405
Argentina,ARG,2003,0.077954
Argentina,ARG,2004,0.07244599999999997
Argentina,ARG,2005,0.071719665
Argentina,ARG,2006,0.06964000000000001
Argentina,ARG,2007,0.06159299999999999
Argentina,ARG,2008,0.04195107799999999
Argentina,ARG,2009,0.036831528599999996
Argentina,ARG,2010,0.025351606199999998
Argentina,ARG,2011,0.026590549999999998
Argentina,ARG,2012,0.3698619993329999
Argentina,ARG,2013,0.453354876
Argentina,ARG,2014,0.7311919999999998
Argentina,ARG,2015,0.5933349629999998
Argentina,ARG,2016,0.5470548358859999
Asia Pacific,,1965,0
Asia Pacific,,1966,0
Asia Pacific,,1967,0
Asia Pacific,,1968,0
Asia Pacific,,1969,0
Asia Pacific,,1970,0
Asia Pacific,,1971,0
Asia Pacific,,1972,0
Asia Pacific,,1973,0
Asia Pacific,,1974,0
Asia Pacific,,1975,0
Asia Pacific,,1976,0
Asia Pacific,,1977,0
Asia Pacific,,1978,0
Asia Pacific,,1979,0
Asia Pacific,,1980,0
Asia Pacific,,1981,0
Asia Pacific,,1982,0
Asia Pacific,,1983,0
Asia Pacific,,1984,0
Asia Pacific,,1985,0
Asia Pacific,,1986,0
Asia Pacific,,1987,0
Asia Pacific,,1988,0
Asia Pacific,,1989,0
Asia Pacific,,1990,0.03232323232323194
Asia Pacific,,1991,0.12200090909090898
Asia Pacific,,1992,0.22047404040403884
Asia Pacific,,1993,0.3108366666666641
Asia Pacific,,1994,0.58642646464646
Asia Pacific,,1995,1.1225609090909028
Asia Pacific,,1996,0.992164662444443
Asia Pacific,,1997,1.214869233414139
Asia Pacific,,1998,1.491388550434339
Asia Pacific,,1999,2.063723137707062
Asia Pacific,,2000,2.5633537358686778
Asia Pacific,,2001,3.516863857100998
Asia Pacific,,2002,4.066197046671098
Asia Pacific,,2003,5.340072455327664
Asia Pacific,,2004,9.186525828368064
Asia Pacific,,2005,12.020324940620572
Asia Pacific,,2006,18.77375813254985
Asia Pacific,,2007,24.332530076963984
Asia Pacific,,2008,35.03721124432767
Asia Pacific,,2009,56.74413631671077
Asia Pacific,,2010,76.91540594924459
Asia Pacific,,2011,110.41980027780315
Asia Pacific,,2012,143.4843615193202
Asia Pacific,,2013,194.98451883138347
Asia Pacific,,2014,210.56289029222592
Asia Pacific,,2015,243.2756203086629
Asia Pacific,,2016,315.02614380090495
Australia,AUS,1965,0
Australia,AUS,1966,0
Australia,AUS,1967,0
Australia,AUS,1968,0
Australia,AUS,1969,0
Australia,AUS,1970,0
Australia,AUS,1971,0
Australia,AUS,1972,0
Australia,AUS,1973,0
Australia,AUS,1974,0
Australia,AUS,1975,0
Australia,AUS,1976,0
Australia,AUS,1977,0
Australia,AUS,1978,0
Australia,AUS,1979,0
Australia,AUS,1980,0
Australia,AUS,1981,0
Australia,AUS,1982,0
Australia,AUS,1983,0
Australia,AUS,1984,0
Australia,AUS,1985,0
Australia,AUS,1986,0
Australia,AUS,1987,0
Australia,AUS,1988,0
Australia,AUS,1989,0
Australia,AUS,1990,0
Australia,AUS,1991,0
Australia,AUS,1992,0
Australia,AUS,1993,0.002
Australia,AUS,1994,0.0055
Australia,AUS,1995,0.007
Australia,AUS,1996,0.007
Australia,AUS,1997,0.0075
Australia,AUS,1998,0.018
Australia,AUS,1999,0.043
Australia,AUS,2000,0.134
Australia,AUS,2001,0.287
Australia,AUS,2002,0.53355
Australia,AUS,2003,0.70405
Australia,AUS,2004,0.795
Australia,AUS,2005,1.29905
Australia,AUS,2006,2.1620999999999997
Australia,AUS,2007,2.8521
Australia,AUS,2008,3.45845
