"","Overs","Mdns","Runs","Wkts","Econ","Ave","SR","Opposition","Ground","Start Date","Match_ID","Bowler","Player_ID"
"6001","-","-","-","-","-","-","-","v Pakistan","Lahore","13 Feb 2006","ODI # 2329","MS Dhoni ",28081
"6002","-","-","-","-","-","-","-","v Pakistan","Multan","16 Feb 2006","ODI # 2331","MS Dhoni ",28081
"6003","-","-","-","-","-","-","-","v Pakistan","Karachi","19 Feb 2006","ODI # 2333","MS Dhoni ",28081
"6004","-","-","-","-","-","-","-","v England","Delhi","28 Mar 2006","ODI # 2357","MS Dhoni ",28081
"6005","-","-","-","-","-","-","-","v England","Faridabad","31 Mar 2006","ODI # 2358","MS Dhoni ",28081
"6006","-","-","-","-","-","-","-","v England","Margao","3 Apr 2006","ODI # 2359","MS Dhoni ",28081
"6007","-","-","-","-","-","-","-","v England","Kochi","6 Apr 2006","ODI # 2360","MS Dhoni ",28081
"6008","-","-","-","-","-","-","-","v England","Jamshedpur","12 Apr 2006","ODI # 2361","MS Dhoni ",28081
"6009","-","-","-","-","-","-","-","v Pakistan","Abu Dhabi","18 Apr 2006","ODI # 2363","MS Dhoni ",28081
"6010","-","-","-","-","-","-","-","v Pakistan","Abu Dhabi","19 Apr 2006","ODI # 2364","MS Dhoni ",28081
"6011","-","-","-","-","-","-","-","v West Indies","Kingston","18 May 2006","ODI # 2377","MS Dhoni ",28081
"6012","-","-","-","-","-","-","-","v West Indies","Kingston","20 May 2006","ODI # 2379","MS Dhoni ",28081
"6013","-","-","-","-","-","-","-","v West Indies","Basseterre","23 May 2006","ODI # 2380","MS Dhoni ",28081
"6014","-","-","-","-","-","-","-","v West Indies","Port of Spain","26 May 2006","ODI # 2381","MS Dhoni ",28081
"6015","-","-","-","-","-","-","-","v West Indies","Port of Spain","28 May 2006","ODI # 2382","MS Dhoni ",28081
"6016","-","-","-","-","-","-","-","v Sri Lanka","Colombo (SSC)","18 Aug 2006","ODI # 2405","MS Dhoni ",28081
"6017","-","-","-","-","-","-","-","v West Indies","Kuala Lumpur","14 Sep 2006","ODI # 2414","MS Dhoni ",28081
"6018","-","-","-","-","-","-","-","v Australia","Kuala Lumpur","16 Sep 2006","ODI # 2416","MS Dhoni ",28081
"6019","-","-","-","-","-","-","-","v West Indies","Kuala Lumpur","20 Sep 2006","ODI # 2419","MS Dhoni ",28081
"6020","-","-","-","-","-","-","-","v Australia","Kuala Lumpur","22 Sep 2006","ODI # 2421","MS Dhoni ",28081
"6021","-","-","-","-","-","-","-","v England","Jaipur","15 Oct 2006","ODI # 2429","MS Dhoni ",28081
"6022","-","-","-","-","-","-","-","v West Indies","Ahmedabad","26 Oct 2006","ODI # 2437","MS Dhoni ",28081
"6023","-","-","-","-","-","-","-","v Australia","Mohali","29 Oct 2006","ODI # 2440","MS Dhoni ",28081
"6024","-","-","-","-","-","-","-","v South Africa","Durban","22 Nov 2006","ODI # 2447","MS Dhoni ",28081
"6025","-","-","-","-","-","-","-","v South Africa","Cape Town","26 Nov 2006","ODI # 2449","MS Dhoni ",28081
"6026","-","-","-","-","-","-","-","v South Africa","Port Elizabeth","29 Nov 2006","ODI # 2452","MS Dhoni ",28081
"6027","-","-","-","-","-","-","-","v South Africa","Centurion","3 Dec 2006","ODI # 2458","MS Dhoni ",28081
"6028","-","-","-","-","-","-","-","v West Indies","Nagpur","21 Jan 2007","ODI # 2480","MS Dhoni ",28081
"6029","-","-","-","-","-","-","-","v West Indies","Cuttack","24 Jan 2007","ODI # 2485","MS Dhoni ",28081
