Latitude,Longitude,Elevation
45.43344500,-75.7246420,49.0
45.43240700,-75.7244530,52.0
45.43265000,-75.7280130,50.0
45.43886700,-75.7260420,49.0
45.45069500,-75.7161220,47.0
45.46154800,-75.7149670,40.0
45.45890700,-75.7147030,45.0
45.46027500,-75.7186570,44.0
45.46097000,-75.7164880,45.0
45.45195000,-75.7160470,48.0
45.44695700,-75.7203350,44.0
45.44069200,-75.7195700,46.0
45.43556500,-75.6976330,56.0
45.43639500,-75.6922150,56.0
45.42876500,-75.6859870,63.0
45.42743300,-75.6887020,63.0
45.42500200,-75.6877680,71.0
45.42201500,-75.6939200,72.0
45.42099700,-75.6927450,72.0
45.42315200,-75.6875330,70.0
45.41636300,-75.6747400,62.0
45.40628500,-75.6978530,71.0
45.40153000,-75.7167850,73.0
45.39706500,-75.7275280,72.0
45.36591700,-75.7596650,84.0
45.34707200,-75.7948400,67.0
45.34321800,-75.8146220,66.0
45.33997300,-75.8155070,70.0
45.32600300,-75.8065800,90.0
45.31696800,-75.8050320,90.0
45.30022000,-75.7924850,94.0
45.29622500,-75.7940230,100.0
45.28841300,-75.8044380,114.0
45.28285300,-75.8056500,116.0
45.26462200,-75.7908650,107.0
45.24942300,-75.7817030,94.0
45.24635500,-75.7767420,92.0
45.24413800,-75.7637230,93.0
45.24130300,-75.7584270,94.0
45.21728500,-75.7433670,96.0
45.18964000,-75.7213880,93.0
45.16181200,-75.6881320,94.0
45.13271300,-75.6754320,93.0
45.11634300,-75.6745750,88.0
45.10343200,-75.6600670,88.0
45.08682000,-75.6487250,87.0
45.07986300,-75.6314580,87.0
45.06770700,-75.6213200,84.0
45.01264300,-75.6276600,97.0
44.99638500,-75.6131570,98.0
44.97804300,-75.6087300,109.0
44.93736800,-75.5770230,97.0
44.93099800,-75.5754050,100.0
44.90632700,-75.5756220,103.0
44.89038000,-75.5701700,114.0
44.87490800,-75.5601670,95.0
44.85899800,-75.5443530,94.0
44.84541500,-75.5359730,89.0
44.84145000,-75.5412770,88.0
44.84327000,-75.5464150,93.0
44.83575200,-75.5578530,104.0
44.81698500,-75.5761530,101.0
44.81374500,-75.5905430,95.0
44.80391700,-75.6075850,104.0
44.79631200,-75.6058270,102.0
44.78859800,-75.5990980,98.0
44.77710500,-75.5819220,100.0
44.77830300,-75.5722750,99.0
44.75896200,-75.5542980,117.0
44.71632200,-75.5196850,92.0
44.71032000,-75.5129350,84.0
44.69977800,-75.5314170,79.0
44.69790800,-75.5378270,79.0
44.67803300,-75.5624500,79.0
44.65927000,-75.5791820,83.0
44.65015000,-75.5968630,84.0
44.63960300,-75.6066880,81.0
44.62641800,-75.6261570,81.0
44.61724700,-75.6454450,93.0
44.61064000,-75.6524050,95.0
44.59001200,-75.6836030,88.0
44.58245000,-75.6977520,84.0
44.57713000,-75.7030380,80.0
44.56926700,-75.7201670,75.0
44.55907700,-75.7281350,85.0
44.55217000,-75.7424450,82.0
44.54625500,-75.7482780,98.0
44.54229200,-75.7570030,91.0
44.53176200,-75.7664530,96.0
44.52300700,-75.7827380,104.0
44.52535200,-75.7944480,94.0
44.52532800,-75.8022230,86.0
44.52473300,-75.8074200,90.0
44.52096000,-75.8143000,90.0
44.52189000,-75.8223570,100.0
44.51110700,-75.8331380,94.0
44.50255300,-75.8448980,104.0
44.49410800,-75.8620480,105.0
44.46564300,-75.8926150,105.0
44.45364500,-75.9094850,93.0
44.44372200,-75.9273800,96.0
44.43552300,-75.9483900,91.0
44.43078800,-75.9523800,90.0
44.42629700,-75.9634600,93.0
44.40379800,-75.9951180,106.0
44.38622200,-76.0331280,101.0
44.38603500,-76.0466080,95.0
44.38415300,-76.0571630,94.0
44.35554700,-76.1057400,85.0
44.35323500,-76.1228000,93.0
44.34176800,-76.1373420,79.0
44.33867500,-76.1432250,80.0
44.33815800,-76.1492370,87.0
44.32841800,-76.1643750,82.0
44.32650700,-76.1645070,81.0
44.32496500,-76.1619750,79.0
44.32315200,-76.1628830,75.0
44.32605000,-76.1581430,80.0
44.32962700,-76.1624520,92.0
44.33581000,-76.1521150,90.0
44.33707700,-76.1521420,87.0
44.33688500,-76.1518430,90.0
44.33962000,-76.1414380,80.0
44.34425000,-76.1495930,88.0
44.34530700,-76.1639950,96.0
44.33875200,-76.2080420,82.0
44.33169700,-76.2311100,92.0
44.32167800,-76.3468430,98.0
44.31632300,-76.3795630,100.0
44.30250300,-76.4108930,88.0
44.29486200,-76.4182720,103.0
44.28778800,-76.4327370,97.0
44.27719300,-76.4761420,104.0
44.26908800,-76.4942130,99.0
44.27027000,-76.5116700,93.0
44.27596000,-76.5331130,100.0
44.27794500,-76.5483730,111.0
44.29022500,-76.5818720,88.0
44.28773000,-76.5933320,120.0
44.28717200,-76.6332380,116.0
44.27625300,-76.8636280,122.0
44.27241200,-76.9157480,127.0
44.26558800,-76.9413170,90.0
44.26652200,-76.9592900,96.0
44.25342800,-76.9989900,94.0
44.21757300,-77.2586480,118.0
44.21781000,-77.2674000,108.0
44.22188700,-77.2823850,106.0
44.22175300,-77.2913850,114.0
44.20587000,-77.3579820,104.0
